Symbol,SECTOR
-,-
360ONE.NS,FINANCIAL_SERVICES
3MINDIA.NS,DIVERSIFIED
ABB.NS,CAPITAL_GOODS
ACC.NS,CONSTRUCTION_MATERIALS
AIAENG.NS,CAPITAL_GOODS
APLAPOLLO.NS,CAPITAL_GOODS
AUBANK.NS,FINANCIAL_SERVICES
AADHARHFC.NS,FINANCIAL_SERVICES
AARTIIND.NS,CHEMICALS
AAVAS.NS,FINANCIAL_SERVICES
ABBOTINDIA.NS,HEALTHCARE
ACE.NS,CAPITAL_GOODS
ADANIENSOL.NS,POWER
ADANIENT.NS,METALS_MINING
ADANIGREEN.NS,POWER
ADANIPORTS.NS,SERVICES
ADANIPOWER.NS,POWER
ATGL.NS,OIL_GAS
AWL.NS,FAST_GOODS
ABCAPITAL.NS,FINANCIAL_SERVICES
ABFRL.NS,CONSUMER_SERVICES
ABREL.NS,FOREST_MATERIALS
ABSLAMC.NS,FINANCIAL_SERVICES
AEGISLOG.NS,OIL_GAS
AFFLE.NS,INFORMATION_TECHNOLOGY
AJANTPHARM.NS,HEALTHCARE
AKUMS.NS,HEALTHCARE
APLLTD.NS,HEALTHCARE
ALKEM.NS,HEALTHCARE
ALKYLAMINE.NS,CHEMICALS
ALOKINDS.NS,TEXTILES
ARE&M.NS,AUTOMOBILE_COMPONENTS
AMBER.NS,CONSUMER_DURABLES
AMBUJACEM.NS,CONSTRUCTION_MATERIALS
ANANDRATHI.NS,FINANCIAL_SERVICES
ANANTRAJ.NS,REALTY
ANGELONE.NS,FINANCIAL_SERVICES
APARINDS.NS,CAPITAL_GOODS
APOLLOHOSP.NS,HEALTHCARE
APOLLOTYRE.NS,AUTOMOBILE_COMPONENTS
APTUS.NS,FINANCIAL_SERVICES
ACI.NS,CHEMICALS
ASAHIINDIA.NS,AUTOMOBILE_COMPONENTS
ASHOKLEY.NS,CAPITAL_GOODS
ASIANPAINT.NS,CONSUMER_DURABLES
ASTERDM.NS,HEALTHCARE
ASTRAZEN.NS,HEALTHCARE
ASTRAL.NS,CAPITAL_GOODS
ATUL.NS,CHEMICALS
AUROPHARMA.NS,HEALTHCARE
AVANTIFEED.NS,FAST_GOODS
DMART.NS,CONSUMER_SERVICES
AXISBANK.NS,FINANCIAL_SERVICES
BASF.NS,CHEMICALS
BEML.NS,CAPITAL_GOODS
BLS.NS,CONSUMER_SERVICES
BSE.NS,FINANCIAL_SERVICES
BAJAJ-AUTO.NS,AUTOMOBILE_COMPONENTS
BAJFINANCE.NS,FINANCIAL_SERVICES
BAJAJFINSV.NS,FINANCIAL_SERVICES
BAJAJHLDNG.NS,FINANCIAL_SERVICES
BALAMINES.NS,CHEMICALS
BALKRISIND.NS,AUTOMOBILE_COMPONENTS
BALRAMCHIN.NS,FAST_GOODS
BANDHANBNK.NS,FINANCIAL_SERVICES
BANKBARODA.NS,FINANCIAL_SERVICES
BANKINDIA.NS,FINANCIAL_SERVICES
MAHABANK.NS,FINANCIAL_SERVICES
BATAINDIA.NS,CONSUMER_DURABLES
BAYERCROP.NS,CHEMICALS
BERGEPAINT.NS,CONSUMER_DURABLES
BDL.NS,CAPITAL_GOODS
BEL.NS,CAPITAL_GOODS
BHARATFORG.NS,AUTOMOBILE_COMPONENTS
BHEL.NS,CAPITAL_GOODS
BPCL.NS,OIL_GAS
BHARTIARTL.NS,TELECOMMUNICATION
BHARTIHEXA.NS,TELECOMMUNICATION
BIKAJI.NS,FAST_GOODS
BIOCON.NS,HEALTHCARE
BIRLACORPN.NS,CONSTRUCTION_MATERIALS
BSOFT.NS,INFORMATION_TECHNOLOGY
BLUEDART.NS,SERVICES
BLUESTARCO.NS,CONSUMER_DURABLES
BBTC.NS,FAST_GOODS
BOSCHLTD.NS,AUTOMOBILE_COMPONENTS
BRIGADE.NS,REALTY
BRITANNIA.NS,FAST_GOODS
MAPMYINDIA.NS,INFORMATION_TECHNOLOGY
CCL.NS,FAST_GOODS
CESC.NS,POWER
CGPOWER.NS,CAPITAL_GOODS
CIEINDIA.NS,AUTOMOBILE_COMPONENTS
CRISIL.NS,FINANCIAL_SERVICES
CAMPUS.NS,CONSUMER_DURABLES
CANFINHOME.NS,FINANCIAL_SERVICES
CANBK.NS,FINANCIAL_SERVICES
CAPLIPOINT.NS,HEALTHCARE
CGCL.NS,FINANCIAL_SERVICES
CARBORUNIV.NS,CAPITAL_GOODS
CASTROLIND.NS,OIL_GAS
CEATLTD.NS,AUTOMOBILE_COMPONENTS
CELLO.NS,CONSUMER_DURABLES
CENTRALBK.NS,FINANCIAL_SERVICES
CDSL.NS,FINANCIAL_SERVICES
CENTURYPLY.NS,CONSUMER_DURABLES
CERA.NS,CONSUMER_DURABLES
CHALET.NS,CONSUMER_SERVICES
CHAMBLFERT.NS,CHEMICALS
CHEMPLASTS.NS,CHEMICALS
CHENNPETRO.NS,OIL_GAS
CHOLAHLDNG.NS,FINANCIAL_SERVICES
CHOLAFIN.NS,FINANCIAL_SERVICES
CIPLA.NS,HEALTHCARE
CUB.NS,FINANCIAL_SERVICES
CLEAN.NS,CHEMICALS
COALINDIA.NS,OIL_GAS
COCHINSHIP.NS,CAPITAL_GOODS
COFORGE.NS,INFORMATION_TECHNOLOGY
COLPAL.NS,FAST_GOODS
CAMS.NS,FINANCIAL_SERVICES
CONCORDBIO.NS,HEALTHCARE
CONCOR.NS,SERVICES
COROMANDEL.NS,CHEMICALS
CRAFTSMAN.NS,AUTOMOBILE_COMPONENTS
CREDITACC.NS,FINANCIAL_SERVICES
CROMPTON.NS,CONSUMER_DURABLES
CUMMINSIND.NS,CAPITAL_GOODS
CYIENT.NS,INFORMATION_TECHNOLOGY
DLF.NS,REALTY
DOMS.NS,FAST_GOODS
DABUR.NS,FAST_GOODS
DALBHARAT.NS,CONSTRUCTION_MATERIALS
DATAPATTNS.NS,CAPITAL_GOODS
DEEPAKFERT.NS,CHEMICALS
DEEPAKNTR.NS,CHEMICALS
DELHIVERY.NS,SERVICES
DEVYANI.NS,CONSUMER_SERVICES
DIVISLAB.NS,HEALTHCARE
DIXON.NS,CONSUMER_DURABLES
LALPATHLAB.NS,HEALTHCARE
DRREDDY.NS,HEALTHCARE
EIDPARRY.NS,CHEMICALS
EIHOTEL.NS,CONSUMER_SERVICES
EASEMYTRIP.NS,CONSUMER_SERVICES
EICHERMOT.NS,AUTOMOBILE_COMPONENTS
ELECON.NS,CAPITAL_GOODS
ELGIEQUIP.NS,CAPITAL_GOODS
EMAMILTD.NS,FAST_GOODS
EMCURE.NS,HEALTHCARE
ENDURANCE.NS,AUTOMOBILE_COMPONENTS
ENGINERSIN.NS,CONSTRUCTION
EQUITASBNK.NS,FINANCIAL_SERVICES
ERIS.NS,HEALTHCARE
ESCORTS.NS,CAPITAL_GOODS
EXIDEIND.NS,AUTOMOBILE_COMPONENTS
NYKAA.NS,CONSUMER_SERVICES
FEDERALBNK.NS,FINANCIAL_SERVICES
FACT.NS,CHEMICALS
FINEORG.NS,CHEMICALS
FINCABLES.NS,CAPITAL_GOODS
FINPIPE.NS,CAPITAL_GOODS
FSL.NS,SERVICES
FIVESTAR.NS,FINANCIAL_SERVICES
FORTIS.NS,HEALTHCARE
GRINFRA.NS,CONSTRUCTION
GAIL.NS,OIL_GAS
GVT&D.NS,CAPITAL_GOODS
GMRAIRPORT.NS,SERVICES
GRSE.NS,CAPITAL_GOODS
GICRE.NS,FINANCIAL_SERVICES
GILLETTE.NS,FAST_GOODS
GLAND.NS,HEALTHCARE
GLAXO.NS,HEALTHCARE
GLENMARK.NS,HEALTHCARE
MEDANTA.NS,HEALTHCARE
GODIGIT.NS,FINANCIAL_SERVICES
GPIL.NS,CAPITAL_GOODS
GODFRYPHLP.NS,FAST_GOODS
GODREJAGRO.NS,FAST_GOODS
GODREJCP.NS,FAST_GOODS
GODREJIND.NS,DIVERSIFIED
GODREJPROP.NS,REALTY
GRANULES.NS,HEALTHCARE
GRAPHITE.NS,CAPITAL_GOODS
GRASIM.NS,CONSTRUCTION_MATERIALS
GESHIP.NS,SERVICES
GRINDWELL.NS,CAPITAL_GOODS
GAEL.NS,FAST_GOODS
FLUOROCHEM.NS,CHEMICALS
GUJGASLTD.NS,OIL_GAS
GMDCLTD.NS,METALS_MINING
GNFC.NS,CHEMICALS
GPPL.NS,SERVICES
GSFC.NS,CHEMICALS
GSPL.NS,OIL_GAS
HEG.NS,CAPITAL_GOODS
HBLENGINE.NS,AUTOMOBILE_COMPONENTS
HCLTECH.NS,INFORMATION_TECHNOLOGY
HDFCAMC.NS,FINANCIAL_SERVICES
HDFCBANK.NS,FINANCIAL_SERVICES
HDFCLIFE.NS,FINANCIAL_SERVICES
HFCL.NS,TELECOMMUNICATION
HAPPSTMNDS.NS,INFORMATION_TECHNOLOGY
HAVELLS.NS,CONSUMER_DURABLES
HEROMOTOCO.NS,AUTOMOBILE_COMPONENTS
HSCL.NS,CHEMICALS
HINDALCO.NS,METALS_MINING
HAL.NS,CAPITAL_GOODS
HINDCOPPER.NS,METALS_MINING
HINDPETRO.NS,OIL_GAS
HINDUNILVR.NS,FAST_GOODS
HINDZINC.NS,METALS_MINING
POWERINDIA.NS,CAPITAL_GOODS
HOMEFIRST.NS,FINANCIAL_SERVICES
HONASA.NS,FAST_GOODS
HONAUT.NS,CAPITAL_GOODS
HUDCO.NS,FINANCIAL_SERVICES
ICICIBANK.NS,FINANCIAL_SERVICES
ICICIGI.NS,FINANCIAL_SERVICES
ICICIPRULI.NS,FINANCIAL_SERVICES
ISEC.NS,FINANCIAL_SERVICES
IDBI.NS,FINANCIAL_SERVICES
IDFCFIRSTB.NS,FINANCIAL_SERVICES
IFCI.NS,FINANCIAL_SERVICES
IIFL.NS,FINANCIAL_SERVICES
INOXINDIA.NS,CAPITAL_GOODS
IRB.NS,CONSTRUCTION
IRCON.NS,CONSTRUCTION
ITC.NS,FAST_GOODS
ITI.NS,TELECOMMUNICATION
INDGN.NS,HEALTHCARE
INDIACEM.NS,CONSTRUCTION_MATERIALS
INDIAMART.NS,CONSUMER_SERVICES
INDIANB.NS,FINANCIAL_SERVICES
IEX.NS,FINANCIAL_SERVICES
INDHOTEL.NS,CONSUMER_SERVICES
IOC.NS,OIL_GAS
IOB.NS,FINANCIAL_SERVICES
IRCTC.NS,CONSUMER_SERVICES
IRFC.NS,FINANCIAL_SERVICES
IREDA.NS,FINANCIAL_SERVICES
IGL.NS,OIL_GAS
INDUSTOWER.NS,TELECOMMUNICATION
INDUSINDBK.NS,FINANCIAL_SERVICES
NAUKRI.NS,CONSUMER_SERVICES
INFY.NS,INFORMATION_TECHNOLOGY
INOXWIND.NS,CAPITAL_GOODS
INTELLECT.NS,INFORMATION_TECHNOLOGY
INDIGO.NS,SERVICES
IPCALAB.NS,HEALTHCARE
JBCHEPHARM.NS,HEALTHCARE
JKCEMENT.NS,CONSTRUCTION_MATERIALS
JBMA.NS,AUTOMOBILE_COMPONENTS
JKLAKSHMI.NS,CONSTRUCTION_MATERIALS
JKTYRE.NS,AUTOMOBILE_COMPONENTS
JMFINANCIL.NS,FINANCIAL_SERVICES
JSWENERGY.NS,POWER
JSWINFRA.NS,SERVICES
JSWSTEEL.NS,METALS_MINING
JPPOWER.NS,POWER
J&KBANK.NS,FINANCIAL_SERVICES
JINDALSAW.NS,CAPITAL_GOODS
JSL.NS,METALS_MINING
JINDALSTEL.NS,METALS_MINING
JIOFIN.NS,FINANCIAL_SERVICES
JUBLFOOD.NS,CONSUMER_SERVICES
JUBLINGREA.NS,CHEMICALS
JUBLPHARMA.NS,HEALTHCARE
JWL.NS,CAPITAL_GOODS
JUSTDIAL.NS,CONSUMER_SERVICES
JYOTHYLAB.NS,FAST_GOODS
JYOTICNC.NS,CAPITAL_GOODS
KPRMILL.NS,TEXTILES
KEI.NS,CAPITAL_GOODS
KNRCON.NS,CONSTRUCTION
KPITTECH.NS,INFORMATION_TECHNOLOGY
KSB.NS,CAPITAL_GOODS
KAJARIACER.NS,CONSUMER_DURABLES
KPIL.NS,CONSTRUCTION
KALYANKJIL.NS,CONSUMER_DURABLES
KANSAINER.NS,CONSUMER_DURABLES
KARURVYSYA.NS,FINANCIAL_SERVICES
KAYNES.NS,CAPITAL_GOODS
KEC.NS,CONSTRUCTION
KFINTECH.NS,FINANCIAL_SERVICES
KIRLOSBROS.NS,CAPITAL_GOODS
KIRLOSENG.NS,CAPITAL_GOODS
KOTAKBANK.NS,FINANCIAL_SERVICES
KIMS.NS,HEALTHCARE
LTF.NS,FINANCIAL_SERVICES
LTTS.NS,INFORMATION_TECHNOLOGY
LICHSGFIN.NS,FINANCIAL_SERVICES
LTIM.NS,INFORMATION_TECHNOLOGY
LT.NS,CONSTRUCTION
LATENTVIEW.NS,INFORMATION_TECHNOLOGY
LAURUSLABS.NS,HEALTHCARE
LEMONTREE.NS,CONSUMER_SERVICES
LICI.NS,FINANCIAL_SERVICES
LINDEINDIA.NS,CHEMICALS
LLOYDSME.NS,METALS_MINING
LUPIN.NS,HEALTHCARE
MMTC.NS,SERVICES
MRF.NS,AUTOMOBILE_COMPONENTS
LODHA.NS,REALTY
MGL.NS,OIL_GAS
MAHSEAMLES.NS,CAPITAL_GOODS
M&MFIN.NS,FINANCIAL_SERVICES
M&M.NS,AUTOMOBILE_COMPONENTS
MAHLIFE.NS,REALTY
MANAPPURAM.NS,FINANCIAL_SERVICES
MRPL.NS,OIL_GAS
MANKIND.NS,HEALTHCARE
MARICO.NS,FAST_GOODS
MARUTI.NS,AUTOMOBILE_COMPONENTS
MASTEK.NS,INFORMATION_TECHNOLOGY
MFSL.NS,FINANCIAL_SERVICES
MAXHEALTH.NS,HEALTHCARE
MAZDOCK.NS,CAPITAL_GOODS
METROBRAND.NS,CONSUMER_DURABLES
METROPOLIS.NS,HEALTHCARE
MINDACORP.NS,AUTOMOBILE_COMPONENTS
MSUMI.NS,AUTOMOBILE_COMPONENTS
MOTILALOFS.NS,FINANCIAL_SERVICES
MPHASIS.NS,INFORMATION_TECHNOLOGY
MCX.NS,FINANCIAL_SERVICES
MUTHOOTFIN.NS,FINANCIAL_SERVICES
NATCOPHARM.NS,HEALTHCARE
NBCC.NS,CONSTRUCTION
NCC.NS,CONSTRUCTION
NHPC.NS,POWER
NLCINDIA.NS,POWER
NMDC.NS,METALS_MINING
NSLNISP.NS,METALS_MINING
NTPC.NS,POWER
NH.NS,HEALTHCARE
NATIONALUM.NS,METALS_MINING
NAVINFLUOR.NS,CHEMICALS
NESTLEIND.NS,FAST_GOODS
NETWEB.NS,INFORMATION_TECHNOLOGY
NETWORK18.NS,MEDIA_PUBLICATION
NEWGEN.NS,INFORMATION_TECHNOLOGY
NAM-INDIA.NS,FINANCIAL_SERVICES
NUVAMA.NS,FINANCIAL_SERVICES
NUVOCO.NS,CONSTRUCTION_MATERIALS
OBEROIRLTY.NS,REALTY
ONGC.NS,OIL_GAS
OIL.NS,OIL_GAS
OLECTRA.NS,AUTOMOBILE_COMPONENTS
PAYTM.NS,FINANCIAL_SERVICES
OFSS.NS,INFORMATION_TECHNOLOGY
POLICYBZR.NS,FINANCIAL_SERVICES
PCBL.NS,CHEMICALS
PIIND.NS,CHEMICALS
PNBHOUSING.NS,FINANCIAL_SERVICES
PNCINFRA.NS,CONSTRUCTION
PTCIL.NS,CAPITAL_GOODS
PVRINOX.NS,MEDIA_PUBLICATION
PAGEIND.NS,TEXTILES
PATANJALI.NS,FAST_GOODS
PERSISTENT.NS,INFORMATION_TECHNOLOGY
PETRONET.NS,OIL_GAS
PFIZER.NS,HEALTHCARE
PHOENIXLTD.NS,REALTY
PIDILITIND.NS,CHEMICALS
PEL.NS,FINANCIAL_SERVICES
PPLPHARMA.NS,HEALTHCARE
POLYMED.NS,HEALTHCARE
POLYCAB.NS,CAPITAL_GOODS
POONAWALLA.NS,FINANCIAL_SERVICES
PFC.NS,FINANCIAL_SERVICES
POWERGRID.NS,POWER
PRAJIND.NS,CAPITAL_GOODS
PRESTIGE.NS,REALTY
PGHH.NS,FAST_GOODS
PNB.NS,FINANCIAL_SERVICES
QUESS.NS,SERVICES
RRKABEL.NS,CAPITAL_GOODS
RBLBANK.NS,FINANCIAL_SERVICES
RECLTD.NS,FINANCIAL_SERVICES
RHIM.NS,CAPITAL_GOODS
RITES.NS,CONSTRUCTION
RADICO.NS,FAST_GOODS
RVNL.NS,CONSTRUCTION
RAILTEL.NS,TELECOMMUNICATION
RAINBOW.NS,HEALTHCARE
RAJESHEXPO.NS,CONSUMER_DURABLES
RKFORGE.NS,AUTOMOBILE_COMPONENTS
RCF.NS,CHEMICALS
RATNAMANI.NS,CAPITAL_GOODS
RTNINDIA.NS,CONSUMER_SERVICES
RAYMOND.NS,REALTY
REDINGTON.NS,SERVICES
RELIANCE.NS,OIL_GAS
ROUTE.NS,TELECOMMUNICATION
SBFC.NS,FINANCIAL_SERVICES
SBICARD.NS,FINANCIAL_SERVICES
SBILIFE.NS,FINANCIAL_SERVICES
SJVN.NS,POWER
SKFINDIA.NS,CAPITAL_GOODS
SRF.NS,CHEMICALS
SAMMAANCAP.NS,FINANCIAL_SERVICES
MOTHERSON.NS,AUTOMOBILE_COMPONENTS
SANOFI.NS,HEALTHCARE
SAPPHIRE.NS,CONSUMER_SERVICES
SAREGAMA.NS,MEDIA_PUBLICATION
SCHAEFFLER.NS,AUTOMOBILE_COMPONENTS
SCHNEIDER.NS,CAPITAL_GOODS
SCI.NS,SERVICES
SHREECEM.NS,CONSTRUCTION_MATERIALS
RENUKA.NS,FAST_GOODS
SHRIRAMFIN.NS,FINANCIAL_SERVICES
SHYAMMETL.NS,CAPITAL_GOODS
SIEMENS.NS,CAPITAL_GOODS
SIGNATURE.NS,REALTY
SOBHA.NS,REALTY
SOLARINDS.NS,CHEMICALS
SONACOMS.NS,AUTOMOBILE_COMPONENTS
SONATSOFTW.NS,INFORMATION_TECHNOLOGY
STARHEALTH.NS,FINANCIAL_SERVICES
SBIN.NS,FINANCIAL_SERVICES
SAIL.NS,METALS_MINING
SWSOLAR.NS,CONSTRUCTION
SUMICHEM.NS,CHEMICALS
SPARC.NS,HEALTHCARE
SUNPHARMA.NS,HEALTHCARE
SUNTV.NS,MEDIA_PUBLICATION
SUNDARMFIN.NS,FINANCIAL_SERVICES
SUNDRMFAST.NS,AUTOMOBILE_COMPONENTS
SUPREMEIND.NS,CAPITAL_GOODS
SUVENPHAR.NS,HEALTHCARE
SUZLON.NS,CAPITAL_GOODS
SWANENERGY.NS,DIVERSIFIED
SYNGENE.NS,HEALTHCARE
SYRMA.NS,CAPITAL_GOODS
TBOTEK.NS,CONSUMER_SERVICES
TVSMOTOR.NS,AUTOMOBILE_COMPONENTS
TVSSCS.NS,SERVICES
TANLA.NS,INFORMATION_TECHNOLOGY
TATACHEM.NS,CHEMICALS
TATACOMM.NS,TELECOMMUNICATION
TCS.NS,INFORMATION_TECHNOLOGY
TATACONSUM.NS,FAST_GOODS
TATAELXSI.NS,INFORMATION_TECHNOLOGY
TATAINVEST.NS,FINANCIAL_SERVICES
TATAMOTORS.NS,AUTOMOBILE_COMPONENTS
TATAPOWER.NS,POWER
TATASTEEL.NS,METALS_MINING
TATATECH.NS,INFORMATION_TECHNOLOGY
TTML.NS,TELECOMMUNICATION
TECHM.NS,INFORMATION_TECHNOLOGY
TECHNOE.NS,CONSTRUCTION
TEJASNET.NS,TELECOMMUNICATION
NIACL.NS,FINANCIAL_SERVICES
RAMCOCEM.NS,CONSTRUCTION_MATERIALS
THERMAX.NS,CAPITAL_GOODS
TIMKEN.NS,CAPITAL_GOODS
TITAGARH.NS,CAPITAL_GOODS
TITAN.NS,CONSUMER_DURABLES
TORNTPHARM.NS,HEALTHCARE
TORNTPOWER.NS,POWER
TRENT.NS,CONSUMER_SERVICES
TRIDENT.NS,TEXTILES
TRIVENI.NS,FAST_GOODS
TRITURBINE.NS,CAPITAL_GOODS
TIINDIA.NS,AUTOMOBILE_COMPONENTS
UCOBANK.NS,FINANCIAL_SERVICES
UNOMINDA.NS,AUTOMOBILE_COMPONENTS
UPL.NS,CHEMICALS
UTIAMC.NS,FINANCIAL_SERVICES
UJJIVANSFB.NS,FINANCIAL_SERVICES
ULTRACEMCO.NS,CONSTRUCTION_MATERIALS
UNIONBANK.NS,FINANCIAL_SERVICES
UBL.NS,FAST_GOODS
UNITDSPR.NS,FAST_GOODS
USHAMART.NS,CAPITAL_GOODS
VGUARD.NS,CONSUMER_DURABLES
VIPIND.NS,CONSUMER_DURABLES
DBREALTY.NS,REALTY
VTL.NS,TEXTILES
VARROC.NS,AUTOMOBILE_COMPONENTS
VBL.NS,FAST_GOODS
MANYAVAR.NS,CONSUMER_SERVICES
VEDL.NS,METALS_MINING
VIJAYA.NS,HEALTHCARE
VINATIORGA.NS,CHEMICALS
IDEA.NS,TELECOMMUNICATION
VOLTAS.NS,CONSUMER_DURABLES
WELCORP.NS,CAPITAL_GOODS
WELSPUNLIV.NS,TEXTILES
WESTLIFE.NS,CONSUMER_SERVICES
WHIRLPOOL.NS,CONSUMER_DURABLES
WIPRO.NS,INFORMATION_TECHNOLOGY
YESBANK.NS,FINANCIAL_SERVICES
ZFCVINDIA.NS,AUTOMOBILE_COMPONENTS
ZEEL.NS,MEDIA_PUBLICATION
ZENSARTECH.NS,INFORMATION_TECHNOLOGY
ZOMATO.NS,CONSUMER_SERVICES
ZYDUSLIFE.NS,HEALTHCARE
ECLERX.NS,SERVICES
